BSP 100:	7687500
BSP 384:	7142917
BSP 500:	6456666
Int4 100:	85955084 ns
Int4 384:	317710708 ns
Int4 500:	416344167 ns
Int4 768:	636334750 ns
Int8 100:	72693333 ns
Int8 384:	274259000 ns
Int8 500:	363379917 ns
Int8 768:	559606208 ns
Int16 100:	74245083 ns
Int16 384:	284316625 ns
Int16 500:	358238291 ns
Int16 768:	551949125 ns
F32 100:	76677125 ns
F32 384:	310728709 ns
F32 500:	406272584 ns
F32 768:	606507042 ns
Hamming 100:	840500 ns
Hamming 384:	4414542 ns
Hamming 500:	2880584 ns
Hamming 768:	4969167 ns
