BSP 100:	29841790
BSP 384:	32274215
BSP 500:	32022311
Int4 100:	175668903 ns
Int4 384:	656913101 ns
Int4 500:	857014637 ns
Int4 768:	1313164244 ns
Int8 100:	116947506 ns
Int8 384:	420009756 ns
Int8 500:	538294932 ns
Int8 768:	822198954 ns
Int16 100:	131578087 ns
Int16 384:	464877303 ns
Int16 500:	596390599 ns
Int16 768:	894806881 ns
F32 100:	133682187 ns
F32 384:	479632025 ns
F32 500:	614352918 ns
F32 768:	918855998 ns
Hamming 100:	4965192 ns
Hamming 384:	15737177 ns
Hamming 500:	12811904 ns
Hamming 768:	26545143 ns
