BSP 100:	25153807
BSP 384:	25196714
BSP 500:	25327462
Int4 100:	164315506 ns
Int4 384:	607843630 ns
Int4 500:	788776591 ns
Int4 768:	1211764202 ns
Int8 100:	95872566 ns
Int8 384:	337020831 ns
Int8 500:	429434062 ns
Int8 768:	654702765 ns
Int16 100:	117865632 ns
Int16 384:	414708043 ns
Int16 500:	538956422 ns
Int16 768:	826909794 ns
F32 100:	118864388 ns
F32 384:	424301107 ns
F32 500:	541726516 ns
F32 768:	813847777 ns
Hamming 100:	4438630 ns
Hamming 384:	12104117 ns
Hamming 500:	12080947 ns
Hamming 768:	21879028 ns
