BSP 100:	6470583
BSP 384:	6118125
BSP 500:	6837625
Int4 100:	86518375 ns
Int4 384:	318660791 ns
Int4 500:	412482834 ns
Int4 768:	631848333 ns
Int8 100:	71423125 ns
Int8 384:	274038625 ns
Int8 500:	364479750 ns
Int8 768:	561903917 ns
Int16 100:	70703458 ns
Int16 384:	284111583 ns
Int16 500:	357440250 ns
Int16 768:	550935833 ns
F32 100:	72499458 ns
F32 384:	299841708 ns
F32 500:	391813958 ns
F32 768:	610282375 ns
Hamming 100:	880458 ns
Hamming 384:	2541542 ns
Hamming 500:	2704083 ns
Hamming 768:	5075958 ns
